No.,Name,Type 1,Type 2,HP,Sta,Spe,Atk,Def,SpA,SpD,BST
2,Oree,digital,,61,74,35,65,44,32,31,342
3,Zaobian,digital,,75,90,51,84,50,42,44,436
7,Platypet,water,toxic,55,39,65,45,31,67,56,358
8,Platox,water,toxic,62,44,74,50,35,76,63,404
9,Platimous,water,toxic,73,49,82,56,39,93,70,462
10,Swali,nature,,44,65,35,50,40,55,60,349
11,Loali,nature,wind,55,80,80,60,50,70,90,485
12,Tateru,neutral,,79,85,60,78,66,54,66,488
16,Paharo,wind,,48,18,60,40,40,50,50,306
17,Paharac,wind,,60,30,70,50,55,60,60,385
18,Granpah,wind,,69,36,78,55,61,72,66,437
21,Bunbun,earth,crystal,72,40,69,50,36,64,43,374
22,Mudrid,earth,crystal,85,44,95,60,42,80,50,456
23,Hidody,nature,,49,70,39,42,39,62,55,356
24,Taifu,nature,,60,87,45,50,45,85,89,461
25,Fomu,water,,40,60,40,30,35,65,70,340
26,Wiplump,water,wind,66,80,70,40,50,95,80,481
27,Skail,neutral,,57,43,60,45,50,32,41,328
28,Skunch,neutral,melee,72,62,75,70,70,45,60,454
29,Goty,neutral,,51,48,31,55,48,58,37,328
30,Mouflank,neutral,,79,75,72,65,79,72,41,483
31,Rhoulder,neutral,earth,90,37,42,84,83,22,40,398
32,Houchic,mental,,38,44,66,40,41,72,52,353
33,Tental,mental,,41,51,76,42,50,81,62,403
34,Nagaise,mental,water,47,52,81,49,55,92,76,452
35,Orphyll,nature,toxic,42,48,75,68,64,27,40,364
36,Nidrasil,nature,toxic,77,52,61,88,80,36,51,445
37,Banapi,fire,,42,40,70,50,50,40,41,333
38,Capyre,fire,,55,55,88,71,68,45,47,429
39,Lapinite,crystal,,58,31,46,44,63,55,56,353
40,Azuroc,crystal,,64,34,50,58,69,60,62,397
41,Zenoreth,crystal,,71,35,56,67,87,65,69,450
44,Bigu,nature,,55,68,20,65,38,41,42,329
45,Babawa,nature,water,85,92,40,79,57,51,44,448
48,Kaku,nature,,69,48,35,35,60,60,50,357
49,Saku,nature,wind,82,60,40,40,62,66,70,420
50,Valash,neutral,crystal,58,57,90,74,56,74,56,465
53,Barnshe,wind,mental,50,51,65,60,40,75,79,420
54,Gyalis,crystal,melee,86,44,100,85,61,23,61,460
55,Occlura,crystal,,50,39,50,45,43,38,65,330
56,Myx,crystal,mental,51,59,65,51,43,94,80,443
57,Raiber,fire,,57,35,42,40,61,59,38,332
58,Raize,fire,,66,46,40,46,74,69,43,384
59,Raican,fire,,77,49,60,77,77,51,50,441
60,Pewki,water,,70,32,33,42,45,31,10,263
61,Piraniant,water,,80,50,55,77,85,65,37,449
66,Osuchi,earth,,52,37,38,65,51,24,25,292
